Move Type,Name,Hitbox Active,First Actionable Frame,Landing Lag,Auto Cancel,
special,GunSpecial(Aerial/Up/Hits1-12),12/15/18/24/27/30/36/39/42/48/51/54,70,None,None,
special,GunSpecial(Aerial/Down),7/21/35/44,49,None,None,
special,GunSpecial(Aerial/Down),14/28,-,None,None,
special,Eiha(Projectile),16-42,50,None,None,
special,Eiha(Hit2),1-19,-,None,None,
special,Eigaon(Projectile),16-32,58,None,None,
special,Eigaon(Hits2-4),1-15,-,None,None,
special,Eigaon(Hit5),16-27,-,None,None,
special,GrapplingHook(Grounded),20-26,60,None,None,
special,GrapplingHook(Throw),5,29,None,None,
special,GrapplingHook(Aerial),20-23,45,None,None,
special,WingsofRebellion(Grounded),Intangible:1-25,-,None,None,
special,WingsofRebellion(Aerial),Intangible:3-25,-,None,None,
special,Rebel'sGuard,SpecialArmor:3-19,53,None,None,
special,Rebel'sGuard(CounterAttack),8-9,31,None,None,
special,Tetrakarn/Makarakarn,Counter/Reflects:4-31,53,None,None,
special,Tetrakarn,5-7,40,None,None,
special,Makarakarn,Reflection:1-29,42,None,None,
throw,Fthrow,None,None,None,None,
throw,Bthrow,None,None,None,None,
throw,Uthrow,None,None,None,None,
throw,Dthrow,None,None,None,None,
